geoid,name,B01003001,"B01003001, Error"
05000US16065,"Madison County, ID",37916,0
05000US16067,"Minidoka County, ID",20279,0
05000US16069,"Nez Perce County, ID",39779,0
05000US16071,"Oneida County, ID",4245,0
05000US16073,"Owyhee County, ID",11364,0
05000US16075,"Payette County, ID",22700,0
05000US16077,"Power County, ID",7731,0
05000US16079,"Shoshone County, ID",12571,0
05000US16081,"Teton County, ID",10285,0
05000US16083,"Twin Falls County, ID",80004,0
05000US16085,"Valley County, ID",9720,0
05000US16087,"Washington County, ID",10025,0
05000US17001,"Adams County, IL",67081,0
05000US17003,"Alexander County, IL",7364,0
05000US17005,"Bond County, IL",17313,0
05000US17007,"Boone County, IL",53851,0
05000US17009,"Brown County, IL",6859,0
05000US17011,"Bureau County, IL",34115,0
05000US17013,"Calhoun County, IL",4999,0
05000US17015,"Carroll County, IL",14926,0
05000US17017,"Cass County, IL",13254,0
05000US17019,"Champaign County, IL",205766,0
05000US17021,"Christian County, IL",34200,0
05000US17023,"Clark County, IL",16159,0
05000US17025,"Clay County, IL",13582,0
05000US17027,"Clinton County, IL",37929,0
05000US17029,"Coles County, IL",53037,0
05000US17031,"Cook County, IL",5236393,0
05000US17033,"Crawford County, IL",19541,0
05000US17035,"Cumberland County, IL",10943,0
05000US17037,"DeKalb County, IL",104345,0
05000US17039,"De Witt County, IL",16388,0
05000US17041,"Douglas County, IL",19826,0
05000US17043,"DuPage County, IL",930412,0
05000US17045,"Edgar County, IL",17992,0
05000US17047,"Edwards County, IL",6649,0
05000US17049,"Effingham County, IL",34332,0
05000US17051,"Fayette County, IL",22136,0
05000US17053,"Ford County, IL",13835,0
05000US17055,"Franklin County, IL",39694,0
05000US17057,"Fulton County, IL",36323,0
05000US17059,"Gallatin County, IL",5385,0
05000US17061,"Greene County, IL",13502,0
05000US17063,"Grundy County, IL",50277,0
05000US17065,"Hamilton County, IL",8322,0
05000US17067,"Hancock County, IL",18738,0
05000US17069,"Hardin County, IL",4228,0
05000US17071,"Henderson County, IL",7042,0
05000US17073,"Henry County, IL",49883,0
05000US17075,"Iroquois County, IL",29053,0
05000US17077,"Jackson County, IL",59534,0
05000US17079,"Jasper County, IL",9635,0
05000US17081,"Jefferson County, IL",38578,0
05000US17083,"Jersey County, IL",22625,0
05000US17085,"Jo Daviess County, IL",22397,0
05000US17087,"Johnson County, IL",12829,0
05000US17089,"Kane County, IL",524886,0
05000US17091,"Kankakee County, IL",112221,0
05000US17093,"Kendall County, IL",120036,0
05000US17095,"Knox County, IL",52112,0
05000US17097,"Lake County, IL",702898,0
05000US17099,"LaSalle County, IL",112579,0
05000US17101,"Lawrence County, IL",16665,0
05000US17103,"Lee County, IL",35027,0
05000US17105,"Livingston County, IL",37689,0
05000US17107,"Logan County, IL",29956,0
05000US17109,"McDonough County, IL",32009,0
